LL Insert,LL Search,BST Insert,BST Search
0.000104713,9.11E-05,1.57E-05,3.49E-06
0.000139345,7.52E-05,1.03E-05,3.89E-06
0.000139545,9.45E-05,1.70E-05,2.14E-06
0.000137751,0.000103958,1.61E-05,2.36E-06
0.000136321,8.89E-05,2.13E-05,5.64E-06
0.000147945,9.53E-05,1.38E-05,6.86E-06
0.000148768,8.70E-05,1.48E-05,4.22E-06
0.000166177,8.75E-05,1.58E-05,1.76E-06
0.00015372,9.04E-05,1.41E-05,2.98E-06
0.000142757,5.85E-05,1.91E-05,2.82E-06
0.000149817,8.51E-05,2.23E-05,2.76E-06
0.000172612,9.68E-05,1.64E-05,2.78E-06
0.000141788,8.70E-05,1.37E-05,3.61E-06
0.000131318,7.76E-05,1.31E-05,5.51E-06
0.000171469,9.39E-05,1.37E-05,4.89E-06
0.000150019,0.000101047,1.40E-05,3.11E-06
0.000110255,9.23E-05,1.97E-05,2.88E-06
0.000140705,0.000107252,2.01E-05,3.05E-06
0.00012704,0.000100494,2.21E-05,3.94E-06
0.000122683,9.67E-05,1.90E-05,4.06E-06
0.000139739,7.93E-05,2.22E-05,3.60E-06
0.000138889,9.54E-05,1.35E-05,6.81E-06
0.000129205,9.39E-05,1.72E-05,4.43E-06
0.000144795,8.12E-05,1.93E-05,5.16E-06
0.00016173,7.77E-05,1.64E-05,2.73E-06
0.000159042,9.92E-05,1.60E-05,4.65E-06
0.000162028,7.89E-05,1.88E-05,3.57E-06
0.000161412,0.000100958,1.14E-05,3.89E-06
0.000165591,8.97E-05,2.32E-05,6.96E-06
0.000160592,0.000105986,1.63E-05,5.77E-06
0.000128648,0.000102336,2.21E-05,8.26E-06
0.000178377,9.74E-05,2.23E-05,5.78E-06
0.000135804,9.44E-05,1.12E-05,5.59E-06
0.000187209,8.99E-05,1.60E-05,1.01E-05
0.000154435,1.00E-04,1.24E-05,6.59E-06
0.000183334,0.000111737,2.15E-05,4.17E-06
0.00017246,9.47E-05,1.77E-05,1.41E-05
0.000165167,9.33E-05,2.20E-05,4.19E-06
0.000173642,6.22E-05,1.94E-05,5.49E-06
0.000167483,8.16E-05,1.51E-05,5.10E-06
0.000165489,0.000111779,1.62E-05,6.32E-06
0.000177894,0.000104899,1.94E-05,4.96E-06
0.000207806,9.48E-05,2.22E-05,3.96E-06
0.000186703,0.000104642,1.90E-05,4.22E-06
